timestamp_utc,run_id,valid_sensor_count,fallback_reason,max_threat_hint,avg_threat_hint,threat_level
2025-12-01T08:58:38.295877,,,,0.000,0.000,LOW
2025-12-01T09:10:13.824535,,,,0.000,0.000,LOW
2025-12-02T00:28:26.569995,,,,0.000,0.000,LOW
2025-12-02T00:28:26.570351,,,,0.000,0.000,LOW
2025-12-02T00:28:26.570444,,,,0.000,0.000,LOW
2025-12-02T00:28:26.570526,,,,0.000,0.000,LOW
2025-12-02T00:28:26.570600,,,,0.000,0.000,LOW
2025-12-02T00:28:26.570670,,,,0.000,0.000,LOW
2025-12-02T00:28:26.570734,,,,0.000,0.000,LOW
2025-12-02T00:28:26.570797,,,,0.000,0.000,LOW
2025-12-02T00:28:26.570858,,,,0.000,0.000,LOW
2025-12-02T00:28:26.570919,,,,0.000,0.000,LOW
2025-12-02T00:28:57.367981,,,,0.000,0.000,LOW
2025-12-02T00:28:57.368259,,,,0.000,0.000,LOW
2025-12-02T00:28:57.368350,,,,0.000,0.000,LOW
2025-12-02T00:28:57.368428,,,,0.000,0.000,LOW
2025-12-02T00:28:57.368501,,,,0.000,0.000,LOW
2025-12-02T00:28:57.368572,,,,0.000,0.000,LOW
2025-12-02T00:28:57.368638,,,,0.000,0.000,LOW
2025-12-02T00:28:57.368704,,,,0.000,0.000,LOW
2025-12-02T00:28:57.368768,,,,0.000,0.000,LOW
2025-12-02T00:28:57.368832,,,,0.000,0.000,LOW
2025-12-02T01:14:10.170454,,,,0.000,0.000,LOW
2025-12-02T01:14:10.170871,,,,0.000,0.000,LOW
2025-12-02T01:14:10.170963,,,,0.000,0.000,LOW
2025-12-02T01:14:10.171041,,,,0.000,0.000,LOW
2025-12-02T01:14:10.171114,,,,0.000,0.000,LOW
2025-12-02T01:14:10.171184,,,,0.000,0.000,LOW
2025-12-02T01:14:10.171251,,,,0.000,0.000,LOW
2025-12-02T01:14:10.171317,,,,0.000,0.000,LOW
2025-12-02T01:14:10.171381,,,,0.000,0.000,LOW
2025-12-02T01:14:10.171443,,,,0.000,0.000,LOW
2025-12-02T01:18:51.106376,,,,0.000,0.000,LOW
2025-12-02T01:18:51.106780,,,,0.000,0.000,LOW
2025-12-02T01:18:51.106874,,,,0.000,0.000,LOW
2025-12-02T01:18:51.106949,,,,0.000,0.000,LOW
2025-12-02T01:18:51.107019,,,,0.000,0.000,LOW
2025-12-02T01:18:51.107087,,,,0.000,0.000,LOW
2025-12-02T01:18:51.107151,,,,0.000,0.000,LOW
2025-12-02T01:18:51.107254,,,,0.000,0.000,LOW
2025-12-02T01:18:51.107361,,,,0.000,0.000,LOW
2025-12-02T01:18:51.107478,,,,0.000,0.000,LOW
2025-12-02T01:24:21.542782,,,,0.000,0.000,LOW
2025-12-02T01:24:21.543211,,,,0.000,0.000,LOW
2025-12-02T01:24:21.543319,,,,0.000,0.000,LOW
2025-12-02T01:24:21.543404,,,,0.000,0.000,LOW
2025-12-02T01:24:21.543480,,,,0.000,0.000,LOW
2025-12-02T01:24:21.543554,,,,0.000,0.000,LOW
2025-12-02T01:24:21.543624,,,,0.000,0.000,LOW
2025-12-02T01:24:21.543692,,,,0.000,0.000,LOW
2025-12-02T01:24:21.543761,,,,0.000,0.000,LOW
2025-12-02T01:24:21.543826,,,,0.000,0.000,LOW
2025-12-02T01:28:18.929545,,,,0.000,0.000,LOW
2025-12-02T01:28:18.929873,,,,0.000,0.000,LOW
2025-12-02T01:28:18.929965,,,,0.000,0.000,LOW
2025-12-02T01:28:18.930044,,,,0.000,0.000,LOW
2025-12-02T01:28:18.930118,,,,0.000,0.000,LOW
2025-12-02T01:28:18.930188,,,,0.000,0.000,LOW
2025-12-02T01:28:18.930253,,,,0.000,0.000,LOW
2025-12-02T01:28:18.930320,,,,0.000,0.000,LOW
2025-12-02T01:28:18.930381,,,,0.000,0.000,LOW
2025-12-02T01:28:18.930443,,,,0.000,0.000,LOW
2025-12-02T01:32:37.156317,,,,0.000,0.000,LOW
2025-12-02T01:32:37.156743,,,,0.000,0.000,LOW
2025-12-02T01:32:37.156841,,,,0.000,0.000,LOW
2025-12-02T01:32:37.156924,,,,0.000,0.000,LOW
2025-12-02T01:32:37.156999,,,,0.000,0.000,LOW
2025-12-02T01:32:37.157070,,,,0.000,0.000,LOW
2025-12-02T01:32:37.157136,,,,0.000,0.000,LOW
2025-12-02T01:32:37.157199,,,,0.000,0.000,LOW
2025-12-02T01:32:37.157261,,,,0.000,0.000,LOW
2025-12-02T01:32:37.157321,,,,0.000,0.000,LOW
